compound_name,formula,molecular_formula,source_compound_id,description,rank,probabilidade
4-(5-methyl-2-phenylimidazol-1-yl)-1-methylsulfonylpiperidine,C16H21N3O2S,C16H21N3O2S,1034826,4-(5-methyl-2-phenylimidazol-1-yl)-1-methylsulfonylpiperidine,5,0.034947553841431105
"1,1′,1″,1‴-[Dioxybis(phenylmethanetriyl)]tetrakis(4-methoxybenzene)",C42H38O6,C42H38O6,CSID67038385,"1,1′,1″,1‴-[Dioxybis(phenylmethanetriyl)]tetrakis(4-methoxybenzene)",1,1.0
cevine,C27H43NO8,C27H43NO8,CSID16735731,cevine,1,0.1117486028947909
Veracevine,C27H43NO8,C27H43NO8,CSID391289,Veracevine,2,0.11173316902825181
NKH477,C27H43NO8,C27H43NO8,96489,NKH477,3,0.11093846308892671
"(3Z)-3-[{1,6-Dimethyl-2-[(1E,3E)-1,3-pentadien-1-yl]-1,2,4a,5,6,7,8,8a-octahydro-1-naphthalenyl}(hydroxy)methylene]-5-(1-hydroxyethyl)-2,4-pyrrolidinedione",C27H43NO8,C27H43NO8,985264,"(3Z)-3-[{1,6-Dimethyl-2-[(1E,3E)-1,3-pentadien-1-yl]-1,2,4a,5,6,7,8,8a-octahydro-1-naphthalenyl}(hydroxy)methylene]-5-(1-hydroxyethyl)-2,4-pyrrolidinedione",4,0.11093846308892671
Delbonine,C27H43NO8,C27H43NO8,CSID10187268,Delbonine,5,0.11092826037982076
"(2R)-3-[(Hydroxy{[(1S,2S,3S,4S,5R,6S)-2,3,4,5-tetrahydroxy-6-(α-D-mannopyranosyloxy)cyclohexyl]oxy}phosphoryl)oxy]-2-[(9Z)-9-octadecenoyloxy]propyl (9Z,12Z)-9,12-nonadecadienoate",C52H93O18P,C52H93O18P,CSID113380500,"(2R)-3-[(Hydroxy{[(1S,2S,3S,4S,5R,6S)-2,3,4,5-tetrahydroxy-6-(α-D-mannopyranosyloxy)cyclohexyl]oxy}phosphoryl)oxy]-2-[(9Z)-9-octadecenoyloxy]propyl (9Z,12Z)-9,12-nonadecadienoate",1,1.0
"N,N-diethyl-2-[[4-(4-methoxyphenyl)piperazin-1-yl]methyl]-5-methyl-[1,2,4]triazolo[1,5-a]pyrimidin-7-amine",C22H31N7O,C22H31N7O,1042711,"N,N-diethyl-2-[[4-(4-methoxyphenyl)piperazin-1-yl]methyl]-5-methyl-[1,2,4]triazolo[1,5-a]pyrimidin-7-amine",1,0.5133477186927832
O-[(Hexadecyloxy)(hydroxy)phosphoryl]-L-serine,C19H40NO6P,C19H40NO6P,CSID8222682,O-[(Hexadecyloxy)(hydroxy)phosphoryl]-L-serine,2,0.4866522813072167
